trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.4, 'e': -0.540000000000001}",25,11,27.463161094606175,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.4, 'e': -0.550000000000001}",25,11,26.359664115910938,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.4, 'e': -0.560000000000001}",20,9,20.803646013999334,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.4, 'e': -0.5700000000000011}",25,13,20.747925109020567,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.4, 'e': -0.5800000000000011}",20,6,23.39871420109899,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.4, 'e': -0.5900000000000011}",35,11,46.77400347556965,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.4, 'e': -0.6000000000000011}",30,8,37.96220533733329,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.4, 'e': -0.6100000000000011}",25,8,34.585682523793864,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.4, 'e': -0.6200000000000011}",20,16,7.005802699792032,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.4, 'e': -0.6300000000000011}",20,14,10.574147930954066,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.4, 'e': -0.6400000000000011}",20,6,22.757950847780933,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.4, 'e': -0.6500000000000011}",25,13,23.638127991135697,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.4, 'e': -0.6600000000000011}",20,9,22.240294525732658,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.4, 'e': -0.6700000000000012}",20,16,8.319068090797996,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.4, 'e': -0.6800000000000012}",25,8,34.359940908445225,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.4, 'e': -0.6900000000000012}",20,8,26.6971091479434,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.4, 'e': -0.7000000000000012}",20,14,11.166979916433064,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.4, 'e': -0.7100000000000012}",25,12,19.36509281707891,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.4, 'e': -0.7200000000000012}",30,15,26.270073257283723,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.4, 'e': -0.7300000000000012}",20,11,17.98955336022202,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
